player_name,matches_considered,avg_runs_last5,avg_wickets_last5,player_form_index
A Ashish Reddy,5.0,14.0,0.6,14.3
A Badoni,5.0,15.0,0.4,13.5
A Chandila,5.0,0.8,1.2,9.56
A Chopra,5.0,10.2,0.0,7.14
A Choudhary,5.0,5.0,1.0,11.0
A Dananjaya,1.0,4.0,0.0,2.8
A Flintoff,3.0,20.67,0.67,19.47
A Kamboj,5.0,5.2,2.2,20.14
A Kumble,5.0,0.8,1.6,12.56
A Manohar,5.0,12.2,0.0,8.54
A Mhatre,5.0,33.4,0.0,23.38
A Mishra,5.0,3.8,1.2,11.66
A Mithun,5.0,4.6,0.6,7.72
A Mukund,2.0,9.5,0.0,6.65
A Nehra,5.0,0.0,1.6,12.0
A Nel,1.0,0.0,1.0,7.5
A Nortje,5.0,0.0,0.8,6.0
A Raghuvanshi,5.0,33.8,0.0,23.66
A Singh,5.0,0.0,2.0,15.0
A Symonds,5.0,5.4,0.2,5.28
A Tomar,1.0,4.0,0.0,2.8
A Uniyal,2.0,2.0,1.5,12.65
A Zampa,5.0,1.8,1.0,8.76
AA Bilakhia,5.0,7.0,0.0,4.9
AA Chavan,5.0,2.2,1.2,10.54
AA Jhunjhunwala,5.0,6.8,0.2,6.26
AA Kazi,1.0,0.0,1.0,7.5
AA Kulkarni,2.0,4.5,0.0,3.15
AA Noffke,1.0,9.0,1.0,13.8
AB Agarkar,5.0,2.4,1.0,9.18
AB Barath,3.0,14.0,0.0,9.8
AB Dinda,5.0,1.4,1.2,9.98
AB McDonald,5.0,11.0,1.2,16.7
AB de Villiers,5.0,16.6,0.0,11.62
AC Blizzard,5.0,15.4,0.0,10.78
AC Gilchrist,5.0,40.0,0.2,29.5
AC Thomas,5.0,3.8,1.2,11.66
AC Voges,5.0,19.8,0.0,13.86
AD Hales,5.0,20.6,0.0,14.42
AD Mascarenhas,5.0,3.8,1.4,13.16
AD Mathews,5.0,13.4,0.2,10.88
AD Nath,5.0,12.2,0.0,8.54
AD Russell,5.0,22.4,0.4,18.68
AF Milne,5.0,4.2,0.8,8.94
AG Murtaza,5.0,2.0,1.0,8.9
AG Paunikar,5.0,9.8,0.0,6.86
AJ Finch,5.0,17.2,0.0,12.04
AJ Hosein,1.0,16.0,1.0,18.7
AJ Turner,5.0,4.8,0.0,3.36
AJ Tye,5.0,1.2,1.6,12.84
AK Markram,5.0,28.8,0.0,20.16
AL Menaria,5.0,13.2,0.0,9.24
AM Ghazanfar,1.0,0.0,2.0,15.0
AM Nayar,5.0,10.8,0.0,7.56
AM Rahane,5.0,27.8,0.0,19.46
AM Salvi,5.0,0.0,1.4,10.5
AN Ahmed,5.0,2.8,0.8,7.96
AN Ghosh,2.0,3.5,0.0,2.45
AP Dole,3.0,11.33,1.67,20.43
AP Majumdar,4.0,21.75,0.0,15.22
AP Tare,5.0,5.2,0.0,3.64
AR Bawne,1.0,12.0,0.0,8.4
AR Patel,5.0,5.6,0.6,8.42
AS Joseph,5.0,1.4,1.2,9.98
AS Rajpoot,5.0,1.8,1.0,8.76
AS Raut,5.0,12.4,0.0,8.68
AS Roy,5.0,0.6,1.2,9.42
AS Yadav,5.0,7.8,0.0,5.46
AT Carey,3.0,10.67,0.0,7.47
AT Rayudu,5.0,15.0,0.0,10.5
AU Rashid,2.0,11.0,1.0,15.2
AUK Pathan,5.0,5.4,0.0,3.78
Abdul Basith,1.0,1.0,0.0,0.7
Abdul Samad,5.0,14.6,0.0,10.22
Abdur Razzak,1.0,0.0,0.0,0.0
Abhinandan Singh,2.0,0.0,1.5,11.25
Abhishek Sharma,5.0,32.2,0.0,22.54
Abishek Porel,5.0,15.2,0.0,10.64
Akash Deep,5.0,5.0,0.8,9.5
Akash Madhwal,5.0,0.8,1.4,11.06
Akash Singh,5.0,0.0,1.2,9.0
Aman Hakim Khan,5.0,16.0,0.0,11.2
Anand Rajan,5.0,0.0,1.0,7.5
Aniket Verma,5.0,15.2,0.0,10.64
Anirudh Singh,4.0,15.75,0.0,11.02
Ankit Sharma,5.0,7.0,0.4,7.9
Ankit Soni,4.0,1.75,1.0,8.72
Anmolpreet Singh,5.0,15.8,0.0,11.06
Anuj Rawat,5.0,19.6,0.0,13.72
Anureet Singh,5.0,3.6,0.6,7.02
Arjun Tendulkar,3.0,4.33,1.33,13.03
Arshad Khan,5.0,4.4,0.8,9.08
Arshad Khan (2),1.0,5.0,0.0,3.5
Arshdeep Singh,5.0,0.0,2.4,18.0
Ashok Sharma,3.0,0.0,1.33,10.0
Ashutosh Sharma,5.0,17.4,0.0,12.18
Ashwani Kumar,5.0,0.0,1.4,10.5
Atharva Taide,5.0,29.6,0.0,20.72
Auqib Nabi,1.0,4.0,0.0,2.8
Avesh Khan,5.0,1.0,1.2,9.7
Azhar Mahmood,5.0,33.0,1.0,30.6
Azmatullah Omarzai,5.0,8.2,1.0,13.24
B Akhil,5.0,4.2,0.8,8.94
B Chipli,5.0,10.6,0.0,7.42
B Geeves,2.0,0.0,1.0,7.5
B Indrajith,3.0,7.0,0.0,4.9
B Kumar,5.0,2.0,1.4,11.9
B Laughlin,5.0,0.0,1.8,13.5
B Lee,5.0,4.2,1.2,11.94
B Muzarabani,2.0,0.0,2.5,18.75
B Sai Sudharsan,5.0,38.6,0.0,27.02
B Stanlake,4.0,1.25,1.75,14.0
B Sumanth,4.0,8.75,0.0,6.12
BA Bhatt,5.0,1.2,1.6,12.84
BA Stokes,5.0,16.6,0.4,14.62
BAW Mendis,5.0,0.6,0.8,6.42
BB McCullum,5.0,16.8,0.0,11.76
BB Samantray,5.0,16.8,0.0,11.76
BB Sran,5.0,1.2,0.8,6.84
BCJ Cutting,5.0,11.8,0.2,9.76
BE Hendricks,5.0,0.2,1.6,12.14
BJ Haddin,1.0,18.0,0.0,12.6
BJ Hodge,5.0,24.0,0.0,16.8
BJ Rohrer,5.0,31.2,0.0,21.84
BKG Mendis,1.0,20.0,0.0,14.0
