match_id,date,player_name,runs,wickets,venue,teams
1082591,2017-04-05,BCJ Cutting,16,1,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad vs Royal Challengers Bangalore
1082591,2017-04-05,A Choudhary,6,1,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad vs Royal Challengers Bangalore
1082591,2017-04-05,B Kumar,0,2,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad vs Royal Challengers Bangalore
1082591,2017-04-05,Sachin Baby,1,0,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad vs Royal Challengers Bangalore
1082591,2017-04-05,TS Mills,6,1,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad vs Royal Challengers Bangalore
1082591,2017-04-05,Mandeep Singh,24,0,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad vs Royal Challengers Bangalore
1082591,2017-04-05,MC Henriques,52,1,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad vs Royal Challengers Bangalore
1082591,2017-04-05,Yuvraj Singh,62,0,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad vs Royal Challengers Bangalore
1082591,2017-04-05,CH Gayle,32,0,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad vs Royal Challengers Bangalore
1082591,2017-04-05,SR Watson,22,0,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad vs Royal Challengers Bangalore
1082591,2017-04-05,S Dhawan,40,0,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad vs Royal Challengers Bangalore
1082591,2017-04-05,DJ Hooda,16,1,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad vs Royal Challengers Bangalore
1082591,2017-04-05,DA Warner,14,0,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad vs Royal Challengers Bangalore
1082591,2017-04-05,STR Binny,11,1,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad vs Royal Challengers Bangalore
1082591,2017-04-05,TM Head,30,0,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad vs Royal Challengers Bangalore
1082591,2017-04-05,S Aravind,0,0,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad vs Royal Challengers Bangalore
1082591,2017-04-05,Bipul Sharma,0,1,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad vs Royal Challengers Bangalore
1082591,2017-04-05,Rashid Khan,0,2,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad vs Royal Challengers Bangalore
1082591,2017-04-05,YS Chahal,3,1,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad vs Royal Challengers Bangalore
1082591,2017-04-05,A Nehra,0,2,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad vs Royal Challengers Bangalore
1082591,2017-04-05,KM Jadhav,31,0,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad vs Royal Challengers Bangalore
1082592,2017-04-06,JC Buttler,38,0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant vs Mumbai Indians
1082592,2017-04-06,MA Agarwal,6,0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant vs Mumbai Indians
1082592,2017-04-06,MJ McClenaghan,0,1,Maharashtra Cricket Association Stadium,Rising Pune Supergiant vs Mumbai Indians
1082592,2017-04-06,AB Dinda,0,1,Maharashtra Cricket Association Stadium,Rising Pune Supergiant vs Mumbai Indians
1082592,2017-04-06,R Bhatia,0,2,Maharashtra Cricket Association Stadium,Rising Pune Supergiant vs Mumbai Indians
1082592,2017-04-06,AM Rahane,60,0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant vs Mumbai Indians
1082592,2017-04-06,AT Rayudu,10,0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant vs Mumbai Indians
1082592,2017-04-06,MS Dhoni,12,0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant vs Mumbai Indians
1082592,2017-04-06,A Zampa,0,1,Maharashtra Cricket Association Stadium,Rising Pune Supergiant vs Mumbai Indians
1082592,2017-04-06,Imran Tahir,0,3,Maharashtra Cricket Association Stadium,Rising Pune Supergiant vs Mumbai Indians
1082592,2017-04-06,HH Pandya,35,1,Maharashtra Cricket Association Stadium,Rising Pune Supergiant vs Mumbai Indians
1082592,2017-04-06,PA Patel,19,0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant vs Mumbai Indians
1082592,2017-04-06,SPD Smith,84,0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant vs Mumbai Indians
1082592,2017-04-06,N Rana,34,0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant vs Mumbai Indians
1082592,2017-04-06,BA Stokes,21,1,Maharashtra Cricket Association Stadium,Rising Pune Supergiant vs Mumbai Indians
1082592,2017-04-06,KA Pollard,27,0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant vs Mumbai Indians
1082592,2017-04-06,KH Pandya,3,0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant vs Mumbai Indians
1082592,2017-04-06,TG Southee,7,1,Maharashtra Cricket Association Stadium,Rising Pune Supergiant vs Mumbai Indians
1082592,2017-04-06,RG Sharma,3,0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant vs Mumbai Indians
