player_name,role
BCJ Cutting,All-Rounder
A Choudhary,Bowler
B Kumar,Bowler
Sachin Baby,All-Rounder
TS Mills,Bowler
Mandeep Singh,All-Rounder
MC Henriques,All-Rounder
Yuvraj Singh,All-Rounder
CH Gayle,Batter
SR Watson,All-Rounder
S Dhawan,Batter
DJ Hooda,All-Rounder
DA Warner,Batter
STR Binny,All-Rounder
TM Head,Batter
S Aravind,Bowler
Bipul Sharma,All-Rounder
Rashid Khan,Bowler
YS Chahal,Bowler
A Nehra,Bowler
KM Jadhav,All-Rounder
JC Buttler,Batter
MA Agarwal,All-Rounder
MJ McClenaghan,Bowler
AB Dinda,Bowler
R Bhatia,Bowler
AM Rahane,Batter
AT Rayudu,All-Rounder
MS Dhoni,All-Rounder
A Zampa,Bowler
Imran Tahir,Bowler
HH Pandya,All-Rounder
PA Patel,All-Rounder
SPD Smith,Batter
N Rana,All-Rounder
BA Stokes,All-Rounder
KA Pollard,All-Rounder
KH Pandya,All-Rounder
TG Southee,Bowler
RG Sharma,Batter
G Gambhir,Batter
JJ Roy,Batter
Kuldeep Yadav,Bowler
BB McCullum,Batter
PP Chawla,Bowler
SK Raina,Batter
CA Lynn,Batter
KD Karthik,All-Rounder
AJ Finch,All-Rounder
TA Boult,Bowler
DA Miller,All-Rounder
T Natarajan,Bowler
HM Amla,Batter
M Vohra,All-Rounder
GJ Maxwell,All-Rounder
MP Stoinis,All-Rounder
Sandeep Sharma,Bowler
AR Patel,All-Rounder
RD Chahar,Bowler
Swapnil Singh,All-Rounder
WP Saha,All-Rounder
MK Tiwary,All-Rounder
DT Christian,All-Rounder
Z Khan,Bowler
Vishnu Vinod,All-Rounder
SW Billings,All-Rounder
PJ Cummins,Bowler
Iqbal Abdulla,Bowler
SV Samson,Batter
CR Brathwaite,Bowler
CH Morris,Bowler
AP Tare,All-Rounder
KK Nair,All-Rounder
P Negi,All-Rounder
A Mishra,Bowler
B Stanlake,Bowler
RR Pant,Batter
S Nadeem,Bowler
DR Smith,Batter
DS Kulkarni,Bowler
P Kumar,Bowler
Basil Thampi,Bowler
JJ Bumrah,Bowler
SA Yadav,Batter
MK Pandey,All-Rounder
Harbhajan Singh,Bowler
SP Narine,Bowler
RV Uthappa,Batter
YK Pathan,All-Rounder
SL Malinga,Bowler
AS Rajpoot,Bowler
CR Woakes,Bowler
AB de Villiers,Batter
VR Aaron,Bowler
CJ Anderson,All-Rounder
DL Chahar,Bowler
RA Tripathi,All-Rounder
F du Plessis,Batter
NV Ojha,All-Rounder
V Shankar,All-Rounder
C de Grandhomme,All-Rounder
UT Yadav,Bowler
MM Sharma,Bowler
V Kohli,Batter
S Badree,Bowler
AJ Tye,Bowler
LH Ferguson,Bowler
RA Jadeja,All-Rounder
SN Thakur,Bowler
Ankit Sharma,All-Rounder
KC Cariappa,All-Rounder
SS Iyer,Batter
EJG Morgan,All-Rounder
Ishan Kishan,Batter
MM Patel,Bowler
AF Milne,Bowler
JD Unadkat,Bowler
AD Mathews,All-Rounder
Mohammed Shami,Bowler
NM Coulter-Nile,Bowler
Mohammad Nabi,All-Rounder
S Kaul,Bowler
I Sharma,Bowler
KS Williamson,Batter
Mohammed Siraj,Bowler
SE Marsh,Batter
JP Faulkner,Bowler
Shakib Al Hasan,Bowler
MG Johnson,Bowler
K Rabada,Bowler
AD Nath,All-Rounder
SS Agarwal,Bowler
NB Singh,Bowler
Washington Sundar,All-Rounder
KV Sharma,Bowler
DM Bravo,All-Rounder
Ankit Soni,Bowler
AR Bawne,All-Rounder
SP Jackson,All-Rounder
Anureet Singh,Bowler
MJ Guptill,All-Rounder
IK Pathan,Bowler
PJ Sangwan,Bowler
MN Samuels,All-Rounder
LMP Simmons,Batter
R Tewatia,All-Rounder
MJ Henry,Bowler
SS Tiwary,All-Rounder
R Vinay Kumar,Bowler
Avesh Khan,Bowler
HV Patel,Bowler
IR Jaggi,All-Rounder
CJ Jordan,Bowler
E Lewis,Batter
DJ Bravo,Bowler
Mustafizur Rahman,Bowler
MA Wood,Bowler
M Markande,Bowler
Mujeeb Ur Rahman,Bowler
KL Rahul,Batter
C Munro,All-Rounder
R Ashwin,Bowler
AD Russell,All-Rounder
Q de Kock,Batter
RK Singh,All-Rounder
SN Khan,All-Rounder
B Laughlin,Bowler
DJM Short,All-Rounder
S Gopal,Bowler
K Gowtham,All-Rounder
