player_name,matches_considered,weighted_avg_runs,weighted_avg_wickets,batting_form_index,bowling_form_index,overall_player_form_index
A Ashish Reddy,5.0,13.2,0.4,13.2,10.0,12.24
A Badoni,5.0,19.8,0.13,19.8,3.33,14.86
A Chandila,5.0,0.53,1.2,0.53,30.0,9.37
A Chopra,5.0,7.73,0.0,7.73,0.0,5.41
A Choudhary,5.0,3.47,1.13,3.47,28.33,10.93
A Dananjaya,1.0,4.0,0.0,4.0,0.0,2.8
A Flintoff,3.0,19.33,0.5,19.33,12.5,17.28
A Kamboj,5.0,6.0,2.13,6.0,53.33,20.2
A Kumble,5.0,0.73,2.0,0.73,50.0,15.51
A Manohar,5.0,16.53,0.0,16.53,0.0,11.57
A Mhatre,5.0,36.8,0.0,36.8,0.0,25.76
A Mishra,5.0,3.8,1.2,3.8,30.0,11.66
A Mithun,5.0,4.27,0.67,4.27,16.67,7.99
A Mukund,2.0,12.67,0.0,12.67,0.0,8.87
A Nehra,5.0,0.0,1.6,0.0,40.0,12.0
A Nel,1.0,0.0,1.0,0.0,25.0,7.5
A Nortje,5.0,0.0,0.6,0.0,15.0,4.5
A Raghuvanshi,5.0,35.0,0.0,35.0,0.0,24.5
A Singh,5.0,0.0,2.0,0.0,50.0,15.0
A Symonds,5.0,6.27,0.07,6.27,1.67,4.89
A Tomar,1.0,4.0,0.0,4.0,0.0,2.8
A Uniyal,2.0,2.67,1.0,2.67,25.0,9.37
A Zampa,5.0,0.73,1.07,0.73,26.67,8.51
AA Bilakhia,5.0,6.47,0.0,6.47,0.0,4.53
AA Chavan,5.0,2.4,1.07,2.4,26.67,9.68
AA Jhunjhunwala,5.0,8.07,0.27,8.07,6.67,7.65
AA Kazi,1.0,0.0,1.0,0.0,25.0,7.5
AA Kulkarni,2.0,6.0,0.0,6.0,0.0,4.2
AA Noffke,1.0,9.0,1.0,9.0,25.0,13.8
AB Agarkar,5.0,3.8,0.67,3.8,16.67,7.66
AB Barath,3.0,13.17,0.0,13.17,0.0,9.22
AB Dinda,5.0,2.33,0.8,2.33,20.0,7.63
AB McDonald,5.0,8.53,1.4,8.53,35.0,16.47
AB de Villiers,5.0,17.73,0.0,17.73,0.0,12.41
AC Blizzard,5.0,14.0,0.0,14.0,0.0,9.8
AC Gilchrist,5.0,36.13,0.33,36.13,8.33,27.79
AC Thomas,5.0,5.53,1.0,5.53,25.0,11.37
AC Voges,5.0,19.07,0.0,19.07,0.0,13.35
AD Hales,5.0,19.33,0.0,19.33,0.0,13.53
AD Mascarenhas,5.0,4.4,0.93,4.4,23.33,10.08
AD Mathews,5.0,14.53,0.07,14.53,1.67,10.67
AD Nath,5.0,11.53,0.0,11.53,0.0,8.07
AD Russell,5.0,23.8,0.2,23.8,5.0,18.16
AF Milne,5.0,3.6,0.93,3.6,23.33,9.52
